EN,EM,Description,Composition strategy,Attribute
big business,👔📈,"[':necktie:', ':chart_increasing:']",Metaphorical,SIZE
big business,🏢🤑🤑,"[':office_building:', ':money-mouth_face:', ':money-mouth_face:']",Metaphorical,SIZE
big business,👨‍💻🤝,"[':man_technologist:', ':handshake:']",Metaphorical,SIZE
big business,🏢🧑‍🤝‍🧑🧑‍🤝‍🧑🧑‍🤝‍🧑,"[':office_building:', ':people_holding_hands:', ':people_holding_hands:', ':people_holding_hands:']",Metaphorical,SIZE
big business,👩‍💻🤑,"[':woman_technologist:', ':money-mouth_face:']",Metaphorical,SIZE
big business,💰📈,"[':money_bag:', ':chart_increasing:']",Metaphorical,SIZE
big business,🏢🏢🏢📊🌍,"[':office_building:', ':office_building:', ':office_building:', ':bar_chart:', ':globe_showing_Europe-Africa:']",Metaphorical,SIZE
big business,🤝📆,"[':handshake:', ':tear-off_calendar:']",Metaphorical,SIZE
big expenditure,📈💸,"[':chart_increasing:', ':money_with_wings:']",Direct,SIZE
big expenditure,🥘🌯🌯🤑🤑💸💸,"[':shallow_pan_of_food:', ':burrito:', ':burrito:', ':money-mouth_face:', ':money-mouth_face:', ':money_with_wings:', ':money_with_wings:']",Metaphorical,SIZE
big expenditure,👨‍💻💸,"[':man_technologist:', ':money_with_wings:']",Metaphorical,SIZE
big expenditure,💸💸,"[':money_with_wings:', ':money_with_wings:']",Reduplication,SIZE
big expenditure,🤑💸,"[':money-mouth_face:', ':money_with_wings:']",Metaphorical,SIZE
big expenditure,📈💸,"[':chart_increasing:', ':money_with_wings:']",Direct,SIZE
big expenditure,🐘💵💸,"[':elephant:', ':dollar_banknote:', ':money_with_wings:']",Direct,SIZE
big expenditure,🤑💸,"[':money-mouth_face:', ':money_with_wings:']",Metaphorical,SIZE
big voice,📢🗣️,"[':loudspeaker:', ':speaking_head:']",Metaphorical,VOLUME
big voice,📢📣,"[':loudspeaker:', ':megaphone:']",Semantic list,VOLUME
big voice,🔊,[':speaker_high_volume:'],Single,VOLUME
big voice,🗣📢,"[':speaking_head:', ':loudspeaker:']",Metaphorical,VOLUME
big voice,🗣️💢,"[':speaking_head:', ':anger_symbol:']",Metaphorical,VOLUME
big voice,🎙🗣,"[':studio_microphone:', ':speaking_head:']",Metaphorical,VOLUME
big voice,🤬🤬,"[':face_with_symbols_on_mouth:', ':face_with_symbols_on_mouth:']",Reduplication,VOLUME
big voice,🗣️💢,"[':speaking_head:', ':anger_symbol:']",Metaphorical,VOLUME
big group,🧑‍🤝‍🧑👫👭👬,"[':people_holding_hands:', ':woman_and_man_holding_hands:', ':women_holding_hands:', ':men_holding_hands:']",Reduplication,SIZE
big group,👨‍👦👨‍👦👨‍👦👨‍👦👨‍👦👨‍👦👨‍👦,"[':family_man_boy:', ':family_man_boy:', ':family_man_boy:', ':family_man_boy:', ':family_man_boy:', ':family_man_boy:', ':family_man_boy:']",Reduplication,SIZE
big group,👬👬👬👬👬👬👬👬👬👬👬,"[':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:']",Reduplication,SIZE
big group,👥👥👥,"[':busts_in_silhouette:', ':busts_in_silhouette:', ':busts_in_silhouette:']",Reduplication,SIZE
big group,👫👭👨‍👨‍👧‍👧👬👨‍👨‍👧,"[':woman_and_man_holding_hands:', ':women_holding_hands:', ':family_man_man_girl_girl:', ':men_holding_hands:', ':family_man_man_girl:']",Semantic list,SIZE
big group,👥👥,"[':busts_in_silhouette:', ':busts_in_silhouette:']",Reduplication,SIZE
big group,👩‍👩‍👦‍👦👩‍👩‍👦‍👦👩‍👩‍👦‍👦👩‍👩‍👦‍👦👩‍👩‍👦‍👦,"[':family_woman_woman_boy_boy:', ':family_woman_woman_boy_boy:', ':family_woman_woman_boy_boy:', ':family_woman_woman_boy_boy:', ':family_woman_woman_boy_boy:']",Reduplication,SIZE
big group,🧑‍🤝‍🧑🧑‍🤝‍🧑🧑‍🤝‍🧑,"[':people_holding_hands:', ':people_holding_hands:', ':people_holding_hands:']",Reduplication,SIZE
big man,🧔‍♂️😲⬆️,"[':man_beard:', ':astonished_face:', ':up_arrow:']",Metaphorical,CONSPICUOUSNESS
big man,🎅,[':Santa_Claus:'],Single,CONSPICUOUSNESS
big man,🧑‍🦱,[':person_curly_hair:'],Single,CONSPICUOUSNESS
big man,🧍‍♂️💪,"[':man_standing:', ':flexed_biceps:']",Metaphorical,CONSPICUOUSNESS
big man,💪🧔‍♂️,"[':flexed_biceps:', ':man_beard:']",Metaphorical,CONSPICUOUSNESS
big man,👱‍♂️↔️↕️,"[':man_blond_hair:', ':left-right_arrow:', ':up-down_arrow:']",Metaphorical,CONSPICUOUSNESS
big man,🦸🦸‍♂️,"[':superhero:', ':man_superhero:']",Metaphorical,CONSPICUOUSNESS
big man,💪🧍‍♂️,"[':flexed_biceps:', ':man_standing:']",Metaphorical,CONSPICUOUSNESS
big city,🌇❗,"[':sunset:', ':red_exclamation_mark:']",Metaphorical,SIZE
big city,🌇🌁🌆🏙🌃🗽,"[':sunset:', ':foggy:', ':cityscape_at_dusk:', ':cityscape:', ':night_with_stars:', ':Statue_of_Liberty:']",Semantic list,SIZE
big city,🇷🇺,[':Russia:'],Single,SIZE
big city,🏙,[':cityscape:'],Single,SIZE
big city,🌆🤯,"[':cityscape_at_dusk:', ':exploding_head:']",Metaphorical,SIZE
big city,🏙↕️↔️,"[':cityscape:', ':up-down_arrow:', ':left-right_arrow:']",Metaphorical,SIZE
big city,🌃🌃🌃🌃🌃,"[':night_with_stars:', ':night_with_stars:', ':night_with_stars:', ':night_with_stars:', ':night_with_stars:']",Reduplication,SIZE
big city,🌇🏙️,"[':sunset:', ':cityscape:']",Semantic list,SIZE
big tipper,🧔‍♂️💰,"[':man_beard:', ':money_bag:']",Metaphorical,GENEROSITY
big tipper,🥞💸,"[':pancakes:', ':money_with_wings:']",Metaphorical,GENEROSITY
big tipper,💴💴💆‍♂️💇‍♂️,"[':yen_banknote:', ':yen_banknote:', ':man_getting_massage:', ':man_getting_haircut:']",Metaphorical,GENEROSITY
